stock_id,event_date,prev_close,open,close,chg%,ratio,原始比值,還原後漲跌%,方向,同檔命中數,判定
6425,2015-10-02,36.5288,36.3323,41.1452,12.6,0.900009,0.887802,1.4,往上跳（減資／反向分割）,3,幅度不足以確認
6416,2015-10-05,78.8518,78.6911,88.0385,11.7,0.900009,0.895652,0.5,往上跳（減資／反向分割）,3,幅度不足以確認
6491,2015-10-05,68.4387,68.4387,77.7329,13.6,0.900009,0.880435,2.2,往上跳（減資／反向分割）,3,幅度不足以確認
6417,2015-10-14,30.7773,30.9267,36.2306,17.7,0.849979,0.849485,0.1,往上跳（減資／反向分割）,1,幅度不足以確認
6531,2015-10-14,26.2561,25.4341,31.8383,21.3,0.8,0.824668,-3.0,往上跳（減資／反向分割）,3,建議修正
6026,2015-10-16,3.5884,3.5604,4.1457,15.5,0.849979,0.86557,-1.8,往上跳（減資／反向分割）,1,幅度不足以確認
3465,2015-10-23,20.7486,20.1745,17.6322,-15.0,1.1765,1.176744,-0.0,往下跳（分割／面額變更）,3,幅度不足以確認
6485,2015-11-04,30.0984,29.8411,33.8601,12.5,0.900009,0.888906,1.2,往上跳（減資／反向分割）,2,幅度不足以確認
6465,2015-11-09,65.9066,65.6938,74.0856,12.4,0.900009,0.889601,1.2,往上跳（減資／反向分割）,2,幅度不足以確認
8464,2015-11-19,126.1965,125.8379,144.1261,14.2,0.900009,0.875598,2.8,往上跳（減資／反向分割）,1,幅度不足以確認
6416,2015-11-20,89.5696,89.6538,101.4356,13.2,0.900009,0.883019,1.9,往上跳（減資／反向分割）,3,幅度不足以確認
4147,2015-11-23,148.8249,143.4315,167.0093,12.2,0.900009,0.891118,1.0,往上跳（減資／反向分割）,3,幅度不足以確認
2069,2015-11-24,9.7993,9.7886,10.9238,11.5,0.900009,0.897059,0.3,往上跳（減資／反向分割）,3,幅度不足以確認
2361,2015-11-24,1.06,0.87,0.87,-17.9,1.25,1.218391,2.6,往下跳（分割／面額變更）,1,幅度不足以確認
4147,2015-11-25,171.9213,170.9389,198.4463,15.4,0.849979,0.866337,-1.9,往上跳（減資／反向分割）,3,幅度不足以確認
6494,2015-11-26,16.7914,16.0281,19.6263,16.9,0.849979,0.855556,-0.7,往上跳（減資／反向分割）,2,幅度不足以確認
6512,2015-11-26,37.3618,35.7721,42.7683,14.5,0.849979,0.873585,-2.7,往上跳（減資／反向分割）,1,幅度不足以確認
4754,2015-11-30,10.583,10.583,11.9059,12.5,0.900009,0.888887,1.3,往上跳（減資／反向分割）,5,幅度不足以確認
3168,2015-12-01,8.3304,8.3137,10.2963,23.6,0.8,0.809061,-1.1,往上跳（減資／反向分割）,14,同檔命中過多
4754,2015-12-01,11.9059,10.6447,10.583,-11.1,1.1111,1.125002,-1.2,往下跳（分割／面額變更）,5,幅度不足以確認
6527,2015-12-01,56.8678,47.7313,46.6994,-17.9,1.25,1.217742,2.6,往下跳（分割／面額變更）,5,幅度不足以確認
6526,2015-12-02,138.903,137.7707,155.0884,11.7,0.900009,0.895638,0.5,往上跳（減資／反向分割）,7,同檔命中過多
4741,2015-12-04,46.0616,43.5466,51.5686,12.0,0.900009,0.89321,0.8,往上跳（減資／反向分割）,2,幅度不足以確認
6435,2015-12-08,21.2422,21.2307,23.619,11.2,0.900009,0.899368,0.1,往上跳（減資／反向分割）,1,幅度不足以確認
7402,2015-12-09,59.8075,60.1675,66.4528,11.1,0.900009,0.9,0.0,往上跳（減資／反向分割）,3,幅度不足以確認
8476,2015-12-09,20.4582,20.2554,23.2971,13.9,0.900009,0.878144,2.5,往上跳（減資／反向分割）,3,幅度不足以確認
3321,2015-12-15,116.1221,110.739,100.4341,-13.5,1.1765,1.156202,1.8,往下跳（分割／面額變更）,2,幅度不足以確認
6558,2015-12-17,13.2985,13.4211,14.949,12.4,0.900009,0.88959,1.2,往上跳（減資／反向分割）,7,同檔命中過多
2740,2015-12-18,298.0617,289.4547,331.5518,11.2,0.900009,0.89899,0.1,往上跳（減資／反向分割）,8,同檔命中過多
6499,2015-12-18,164.5831,160.9018,183.1214,11.3,0.900009,0.898765,0.1,往上跳（減資／反向分割）,4,幅度不足以確認
8476,2015-12-21,23.973,24.0316,21.1792,-11.7,1.1111,1.131912,-1.8,往下跳（分割／面額變更）,3,幅度不足以確認
6462,2015-12-24,94.6858,96.0631,83.3235,-12.0,1.1111,1.136364,-2.2,往下跳（分割／面額變更）,1,幅度不足以確認
2633,2015-12-25,2.8943,2.8797,7.7035,166.2,0.4,0.375712,6.5,往上跳（減資／反向分割）,3,建議修正
4155,2015-12-29,20.3346,19.7146,22.594,11.1,0.900009,0.9,0.0,往上跳（減資／反向分割）,2,幅度不足以確認
7402,2015-12-29,69.2217,61.4689,59.8075,-13.6,1.1765,1.157407,1.6,往下跳（分割／面額變更）,3,幅度不足以確認
2736,2016-01-06,44.6275,37.1896,36.6938,-17.8,1.25,1.216216,2.8,往下跳（分割／面額變更）,1,幅度不足以確認
6510,2016-01-07,382.8561,383.507,331.466,-13.4,1.1765,1.155039,1.9,往下跳（分割／面額變更）,3,幅度不足以確認
8472,2016-01-08,86.4042,88.6449,96.7727,12.0,0.900009,0.892857,0.8,往上跳（減資／反向分割）,2,幅度不足以確認
4545,2016-01-12,56.7014,56.7014,50.1324,-11.6,1.1111,1.131034,-1.8,往下跳（分割／面額變更）,2,幅度不足以確認
6248,2016-01-14,11.1805,12.8489,12.8489,14.9,0.849979,0.870155,-2.3,往上跳（減資／反向分割）,1,幅度不足以確認
2718,2016-01-15,22.3048,19.6244,19.5925,-12.2,1.1111,1.138436,-2.4,往下跳（分割／面額變更）,5,幅度不足以確認
1456,2016-01-18,10.5332,9.3122,9.3743,-11.0,1.1111,1.12362,-1.1,往下跳（分割／面額變更）,2,幅度不足以確認
6569,2016-01-20,57.4199,58.6867,50.1204,-12.7,1.1765,1.145639,2.7,往下跳（分割／面額變更）,5,幅度不足以確認
2633,2016-01-25,7.9154,7.835,8.8071,11.3,0.900009,0.898755,0.1,往上跳（減資／反向分割）,3,幅度不足以確認
8934,2016-01-26,61.664,53.9819,53.9819,-12.5,1.1111,1.142309,-2.7,往下跳（分割／面額變更）,3,幅度不足以確認
3465,2016-01-29,17.2221,14.7782,14.7782,-14.2,1.1765,1.165372,1.0,往下跳（分割／面額變更）,3,幅度不足以確認
4131,2016-02-01,23.7888,26.5591,26.5591,11.6,0.900009,0.895694,0.5,往上跳（減資／反向分割）,1,幅度不足以確認
6472,2016-02-15,17.3898,17.3626,14.9106,-14.3,1.1765,1.166271,0.9,往下跳（分割／面額變更）,2,幅度不足以確認
6569,2016-02-17,58.4965,58.2848,69.941,19.6,0.849979,0.836369,1.6,往上跳（減資／反向分割）,5,幅度不足以確認
4961,2016-02-25,49.0288,48.8944,55.0062,12.2,0.900009,0.891332,1.0,往上跳（減資／反向分割）,4,幅度不足以確認
2743,2016-03-04,15.8557,15.8686,17.7093,11.7,0.900009,0.895332,0.5,往上跳（減資／反向分割）,9,同檔命中過多
2069,2016-03-07,12.0483,12.0697,13.387,11.1,0.900009,0.9,0.0,往上跳（減資／反向分割）,3,幅度不足以確認
4806,2016-03-09,218.8454,192.3187,177.3974,-18.9,1.25,1.233645,1.3,往下跳（分割／面額變更）,2,幅度不足以確認
5283,2016-03-10,16.8946,16.8991,18.8767,11.7,0.900009,0.895,0.6,往上跳（減資／反向分割）,3,幅度不足以確認
4943,2016-03-17,64.7015,66.1545,55.5561,-14.1,1.1765,1.164615,1.0,往下跳（分割／面額變更）,3,幅度不足以確認
2069,2016-03-22,12.7444,11.2451,10.8167,-15.1,1.1765,1.178218,-0.1,往下跳（分割／面額變更）,3,幅度不足以確認
1598,2016-03-23,30.3342,29.6787,34.7044,14.4,0.849979,0.874074,-2.8,往上跳（減資／反向分割）,2,幅度不足以確認
2743,2016-03-30,17.1151,17.367,20.0214,17.0,0.849979,0.854839,-0.6,往上跳（減資／反向分割）,9,同檔命中過多
3147,2016-03-30,10.7777,10.7051,12.8997,19.7,0.849979,0.835498,1.7,往上跳（減資／反向分割）,1,幅度不足以確認
6242,2016-04-13,20.6154,22.906,22.906,11.1,0.900009,0.9,0.0,往上跳（減資／反向分割）,1,幅度不足以確認
3701,2016-04-19,17.6119,14.2784,14.2784,-18.9,1.25,1.233468,1.3,往下跳（分割／面額變更）,2,幅度不足以確認
2348,2016-04-20,8.7594,10.1183,9.9874,14.0,0.900009,0.877049,2.6,往上跳（減資／反向分割）,1,幅度不足以確認
